"service_id","date","exception_type"
"20_182_20181101","20181224","2"
"20_180_20181101","20181224","1"
"20_182_20181101","20181225","2"
"20_179_20181101","20181225","1"
"20_182_20181101","20181226","2"
"20_179_20181101","20181226","1"
"20_182_20181101","20181227","2"
"20_179_20181101","20181227","1"
"20_182_20181101","20181228","2"
"20_179_20181101","20181228","1"
"20_182_20181101","20181231","2"
"20_181_20181101","20181231","1"
"21_183_20181101","20181224","2"
"21_194_20181101","20181224","1"
"21_183_20181101","20181225","2"
"21_195_20181101","20181225","1"
"21_183_20181101","20181226","2"
"21_195_20181101","20181226","1"
"21_183_20181101","20181227","2"
"21_195_20181101","20181227","1"
"21_183_20181101","20181228","2"
"21_195_20181101","20181228","1"
"21_193_20181101","20181229","2"
"21_196_20181101","20181229","1"
"21_183_20181101","20181231","2"
"21_197_20181101","20181231","1"
"21_183_20181101","20190101","2"
"21_197_20181101","20190101","1"
"21_183_20181101","20190102","2"
"21_197_20181101","20190102","1"
"21_183_20181101","20190103","2"
"21_194_20181101","20190103","1"
"21_183_20181101","20190104","2"
"21_195_20181101","20190104","1"
"21_183_20181101","20190114","2"
"21_194_20181101","20190114","1"
"25_186_20181101","20181224","2"
"25_187_20181101","20181224","1"
"25_186_20181101","20181225","2"
"25_188_20181101","20181225","1"
"25_186_20181101","20181226","2"
"25_188_20181101","20181226","1"
"25_186_20181101","20181227","2"
"25_188_20181101","20181227","1"
"25_186_20181101","20181228","2"
"25_188_20181101","20181228","1"
"25_186_20181101","20181231","2"
"25_187_20181101","20181231","1"
"25_186_20181101","20190104","2"
"25_188_20181101","20190104","1"
"29_189_20181101","20181224","2"
"29_191_20181101","20181224","1"
"29_189_20181101","20181225","2"
"29_192_20181101","20181225","1"
"29_189_20181101","20181226","2"
"29_192_20181101","20181226","1"
"29_189_20181101","20181227","2"
"29_192_20181101","20181227","1"
"29_189_20181101","20181228","2"
"29_192_20181101","20181228","1"
"29_190_20181101","20181229","2"
"29_191_20181101","20181229","1"
"29_189_20181101","20181231","2"
"29_191_20181101","20181231","1"
