"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"20005_200151_1","20_182_20181101","182_200151103_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200151_1","20_179_20181101","179_200151102_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200151_1","20_180_20181101","180_200151401_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200151_1","20_179_20181101","179_200151101_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200151_1","20_182_20181101","182_200151101_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200151_1","20_182_20181101","182_200151102_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200151_1","20_179_20181101","179_200151103_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200151_1","20_180_20181101","180_200151402_20170225","東宝伝",,,,"3_200151_1",,,"20"
"20005_200152_1","20_179_20181101","179_200152102_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_179_20181101","179_200152101_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_180_20181101","180_200152403_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_180_20181101","180_200152402_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_179_20181101","179_200152103_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_182_20181101","182_200152103_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_180_20181101","180_200152401_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_182_20181101","182_200152101_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200152_1","20_182_20181101","182_200152102_20170225","西大寺",,,,"3_200152_1",,,"20"
"20005_200171_1","20_180_20181101","180_200171401_20170225","東宝伝",,,,"3_200171_1",,,"20"
"20005_200171_1","20_182_20181101","182_200171101_20170225","東宝伝",,,,"3_200171_1",,,"20"
"20005_200171_1","20_179_20181101","179_200171101_20170225","東宝伝",,,,"3_200171_1",,,"20"
"20005_200172_1","20_182_20181101","182_200172101_20170225","西大寺",,,,"3_200172_1",,,"20"
"20005_200172_1","20_179_20181101","179_200172101_20170225","西大寺",,,,"3_200172_1",,,"20"
"20005_200172_1","20_180_20181101","180_200172401_20170225","西大寺",,,,"3_200172_1",,,"20"
"21007_210604_1","21_183_20181101","183_210604101_20171001","ダイキ岡山前",,,,"3_210604_1",,,"21"
